#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:primates" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:primates" name="distribution">
#            <parameter id="kappa.s:primates" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                <substModel id="hky.s:primates" kappa="@kappa.s:primates" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:primates" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:primates" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
69000	-5807.300021691484	-5812.164881243055	4.864859551570715	-5812.164881243055	0.3011681819789425	6.191646731973139	0.34903530719902515	0.30872369213087664	0.08669467821011347	0.2555463224599849	8.046993925443308	10.610416644384033
70000	-5802.794465936908	-5809.0635102786755	6.269044341767723	-5809.0635102786755	0.2922310749794704	6.191646731973139	0.34903530719902515	0.30872369213087664	0.08669467821011347	0.2555463224599849	9.451178715640316	7.141737977292902
71000	-5795.6732352984345	-5802.378534249376	6.705298950941146	-5802.378534249376	0.30439983672766824	6.2214359316089265	0.34903530719902515	0.30872369213087664	0.08669467821011347	0.2555463224599849	9.894769043438894	7.129046709399178
72000	-5798.261205292671	-5803.577748976417	5.316543683746324	-5803.577748976417	0.26361316609391	6.2214359316089265	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	8.506013776244071	13.131721113888807
73000	-5799.677974361193	-5806.908526409301	7.230552048107749	-5806.908526409301	0.2691058705119528	6.2214359316089265	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	10.420022140605496	9.042678718700422
74000	-5793.762958601192	-5799.719005734307	5.956047133114959	-5799.719005734307	0.30450197270375906	7.802352598475707	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	9.508334591591336	7.8022639528433695
75000	-5799.510686658452	-5805.432301330758	5.921614672305177	-5805.432301330758	0.30407083900823495	7.802352598475707	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	9.473902130781553	5.980566477478292
76000	-5797.636045832368	-5802.805378159501	5.16933232713278	-5802.805378159501	0.31364998107102376	7.802352598475707	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	8.721619785609157	8.646776232107067
77000	-5801.859563237155	-5807.061536736461	5.201973499305764	-5807.061536736461	0.3316527277681344	7.802352598475707	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	8.75426095778214	8.244283453747977
78000	-5806.245341906855	-5811.038418764712	4.793076857857347	-5811.038418764712	0.32279211306358413	7.802352598475707	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	8.345364316333724	8.128293898913183
79000	-5800.416283826849	-5806.374862653353	5.95857882650394	-5806.374862653353	0.3040542204776478	7.802352598475707	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	9.510866284980317	5.489408176481553
80000	-5796.223577391877	-5801.922806648368	5.699229256490911	-5801.922806648368	0.3050423856863382	7.802352598475707	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	9.251516714967288	7.740614527010633
81000	-5800.391395716173	-5805.79348057599	5.40208485981659	-5805.79348057599	0.3114354094474555	7.802352598475707	0.3635041092374786	0.30872369213087664	0.08669467821011347	0.2410775204215314	8.954372318292966	8.695032208853808
